id;title;description;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/441";"Aparcamiento para personas con discapacidad";"CALLE JEAN PAUL SARTRE, S/N";2020-01-28T07:42:41Z;"-0.8736905991777034,41.678752821843005";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/443";"Aparcamiento para personas con discapacidad";"CALLE EDUARDO JESUS TABOADA, 11";2020-01-28T07:42:41Z;"-0.8672540180624978,41.65215417104711";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/444";"Aparcamiento para personas con discapacidad";"CALLE CONDES DE ARAGON, 30";2020-01-28T07:42:41Z;"-0.9078147559301943,41.635997661068245";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/445";"Aparcamiento para personas con discapacidad";"CALLE CORTES DE ARAGON, 26";2020-01-28T07:42:41Z;"-0.8924236545442904,41.6454278926249";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/447";"Aparcamiento para personas con discapacidad";"CALLE CINEASTA JOSE LUIS BORAU, 17";2020-01-28T07:42:41Z;"-0.8859810880260233,41.675153229084";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/448";"Aparcamiento para personas con discapacidad";"CALLE RODRIGO DE REBOLLEDO, 21";2020-01-28T07:42:41Z;"-0.8638507222682607,41.646138814036455";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/450";"Aparcamiento para personas con discapacidad";"AVENIDA LAS ESTRELLAS, s/n";2020-01-28T07:42:41Z;"-0.9349665577653052,41.64304116196041";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/451";"Aparcamiento para personas con discapacidad";"AVENIDA LAS ESTRELLAS, s/n";2020-01-28T07:42:41Z;"-0.9360527987392838,41.64297053459823";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/453";"Aparcamiento para personas con discapacidad";"CALLE VALLE DE ZURIZA, 14";2020-01-28T07:42:41Z;"-0.8742969953354612,41.66184682816526";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/456";"Aparcamiento para personas con discapacidad";"CALLE FELIX LATASSA, F-17";2020-01-28T07:42:41Z;"-0.8923006676019097,41.6426129128601";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/457";"Aparcamiento para personas con discapacidad";"CALLE BOTERON, S/N";2020-01-28T07:42:41Z;"-0.872885396080554,41.65477719683306";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/458";"Aparcamiento para personas con discapacidad";"CALLE MONACO, 6";2020-01-28T07:42:41Z;"-0.9055027787457204,41.6606007539166";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/459";"Aparcamiento para personas con discapacidad";"CALLE VALLE DE OZA, s/n";2020-01-28T07:42:41Z;"-0.8752245499885922,41.663971323445594";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/460";"Aparcamiento para personas con discapacidad";"CALLE PEDRO IV CEREMONIOSO, s/n";2020-01-28T07:42:41Z;"-0.9047146810556242,41.633901256317735";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/462";"Aparcamiento para personas con discapacidad";"CALLE CORONA DE ARAGON, 35";2020-01-28T07:42:41Z;"-0.8977226351769386,41.64384019024499";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/463";"Aparcamiento para personas con discapacidad";"CALLE IGLESIA SANTA ISABEL, s/n";2020-01-28T07:42:41Z;"-0.829580335688707,41.670265462772214";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/464";"Aparcamiento para personas con discapacidad";"CALLE ARZOBISPO CASIMIRO MORCILLO, s/n";2020-01-28T07:42:41Z;"-0.8929559554020587,41.635473882011674";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/467";"Aparcamiento para personas con discapacidad";"CALLE MONASTERIO DE RONCESVALLES, s/n";2020-01-28T07:42:41Z;"-0.8603127328064862,41.6435825654821";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/469";"Aparcamiento para personas con discapacidad";"CALLE BALBINO ORENSANZ, 55";2020-01-28T07:42:41Z;"-0.8594454591972328,41.653549326393";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/470";"Aparcamiento para personas con discapacidad";"CALLE LUIS AULA, s/n";2020-01-28T07:42:41Z;"-0.8719391710331588,41.63799387145835";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/472";"Aparcamiento para personas con discapacidad";"CALLE PEÑA OROEL, s/n";2020-01-28T07:42:41Z;"-0.8729171595978178,41.66389122293345";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/473";"Aparcamiento para personas con discapacidad";"CALLE DE LA CONCORDIA SANTA ISABEL, F-5";2020-01-28T07:42:41Z;"-0.8719355462385606,41.67317496234825";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/474";"Aparcamiento para personas con discapacidad";"CALLE LUIS DEL VALLE, s/n";2020-01-28T07:42:41Z;"-0.8947483287313995,41.64298285906797";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/475";"Aparcamiento para personas con discapacidad";"CALLE PASCUALA PERIE, s/n";2020-01-28T07:42:41Z;"-0.8635224652438019,41.66257036289882";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/476";"Aparcamiento para personas con discapacidad";"CALLE JERONIMO ZURITA, 11";2020-01-28T07:42:41Z;"-0.8807648225957665,41.65014173130474";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/477";"Aparcamiento para personas con discapacidad";"CALLE JOSE MARIA MATHEU, 9";2020-01-28T07:42:41Z;"-0.8767495131080164,41.66040758596108";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/479";"Aparcamiento para personas con discapacidad";"CALLE PRIVILEGIO DE LA UNION, F-58";2020-01-28T07:42:41Z;"-0.8692672247148927,41.64126842824603";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/480";"Aparcamiento para personas con discapacidad";"CALLE SOBRARBE, 15-19";2020-01-28T07:42:41Z;"-0.8743176699122921,41.65900036511231";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/481";"Aparcamiento para personas con discapacidad";"CALLE ALMAGRO, S/N";2020-01-28T07:42:41Z;"-0.8872626443568985,41.64870398804943";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/482";"Aparcamiento para personas con discapacidad";"CALLE SILVESTRE PEREZ, S/N";2020-01-28T07:42:41Z;"-0.865213920211268,41.648297614985694";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/483";"Aparcamiento para personas con discapacidad";"PASEO DE LOS ROSALES, 18";2020-01-28T07:42:41Z;"-0.8772076986434489,41.63992483812465";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/484";"Aparcamiento para personas con discapacidad";"CALLE PANTANO DE YESA, s/n";2020-01-28T07:42:41Z;"-0.875898489270463,41.668362811694095";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/487";"Aparcamiento para personas con discapacidad";"CALLE TROVADOR, 18";2020-01-28T07:42:41Z;"-0.8956426341948222,41.65469748737419";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/488";"Aparcamiento para personas con discapacidad";"CALLE MOSEN DOMINGO AGUDO, s/n";2020-01-28T07:42:41Z;"-0.8774471047995219,41.65948903765592";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/489";"Aparcamiento para personas con discapacidad";"CALLE PINTOR MANUEL VIOLA, 7";2020-01-28T07:42:41Z;"-0.8563258156467451,41.65917931867896";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/490";"Aparcamiento para personas con discapacidad";"CALLE FELIX LATASSA, 10";2020-01-28T07:42:41Z;"-0.8917389731323568,41.64322062562927";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/491";"Aparcamiento para personas con discapacidad";"CALLE CONCEPCION SAIZ DE OTERO, 10";2020-01-28T07:42:41Z;"-0.8921264166079563,41.67014218756608";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/492";"Aparcamiento para personas con discapacidad";"CALLE MARIA MONTESSORI, 14";2020-01-28T07:42:41Z;"-0.8826177156582582,41.66332848599697";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/493";"Aparcamiento para personas con discapacidad";"CALLE ALFONSO SOLANS SERRANO, 29";2020-01-28T07:42:41Z;"-0.8670377721436991,41.65688457137643";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/494";"Aparcamiento para personas con discapacidad";"CALLE GREGORIO GARCIA ARISTA, 21";2020-01-28T07:42:41Z;"-0.877175237808218,41.65929424573631";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/495";"Aparcamiento para personas con discapacidad";"CALLE MIGUEL DE AMBIELA, s/n";2020-01-28T07:42:41Z;"-0.8744245836532137,41.67797718094307";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/496";"Aparcamiento para personas con discapacidad";"CALLE PANTANO DE YESA, s/n";2020-01-28T07:42:41Z;"-0.8718292662477812,41.668193429917736";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/497";"Aparcamiento para personas con discapacidad";"CALLE MARGARITA XIRGU, 22";2020-01-28T07:42:41Z;"-0.8937240983235294,41.67825244241332";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/498";"Aparcamiento para personas con discapacidad";"CALLE MOSEN ANDRES VICENTE, 2";2020-01-28T07:42:41Z;"-0.9146082587063387,41.650770914495645";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/499";"Aparcamiento para personas con discapacidad";"CALLE JACINTO BENAVENTE, s/n";2020-01-28T07:42:41Z;"-0.8897669307419542,41.64310379283092";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/501";"Aparcamiento para personas con discapacidad";"CALLE LA AMISTAD, 3";2020-01-28T07:42:41Z;"-0.8610575613120245,41.6472375708396";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/502";"Aparcamiento para personas con discapacidad";"CALLE JUAN BLAS UBIDE, 27";2020-01-28T07:42:41Z;"-0.8786005252542575,41.661832935958856";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/504";"Aparcamiento para personas con discapacidad";"ALBIÑANA CORRALE,FCO., s/n";2020-01-28T07:42:41Z;"-0.8802573266545975,41.6412013727601";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/506";"Aparcamiento para personas con discapacidad";"CALLE SUIZA, F-24";2020-01-28T07:42:41Z;"-0.8802435104842569,41.63718251920293";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-personas-discapacidad/507";"Aparcamiento para personas con discapacidad";"CALLE MONASTERIO DE VERUELA, 3";2020-01-28T07:42:41Z;"-0.8653230297573749,41.64512252713363";"http://www.zaragoza.es/contenidos/iconos/estmin.png"
